Авилов 	 Avilov
Грозный, см. Иоанн Грозный 	 Groznyj, sm. Ioann Groznyj
Гукасов А. О. 	 Gukasov A. O.
Гуль Р. Б. 	 Gul' R. B.
Гусаков А. Г., проф. 	 Gusakov A. G., prof.
Густав, шв. король 	 Gustav, shv. korol'
Гутман 	 Gutman
Гучков А. И. 	 Guchkov A. I.
Даль Вл. 	 Dal' Vl.
Дали 	 Dali
Данте 	 Dante
Дейч Л. Г. 	 Dejch L. G.
Демидов И. П. 	 Demidov I. P.
Демидова 	 Demidova
Деникин А. И., ген. 	 Denikin A. I., gen.
Денисов 	 Denisov
Денисова 	 Denisova
Джемс 	 Dzhems
Дзержинский Ф. 	 Dzerzhinskij F.
Диоген 	 Diogen
Дионео (Шкловский И. В.) 	 Dioneo (Shklovskij I. V.)
Дионис 	 Dionis
Дон Аминадо, см. Шполянский 	 Don Aminado, sm. Shpoljanskij
Донзель Морис 	 Donzel' Moris
Достоевский Ф. М. 	 Dostoevskij F. M.
Дроздов А. М. 	 Drozdov A. M.
Дурново П. 	 Durnovo P.
Дягилев С. П. 	 Djagilev S. P.
Дьякова 	 D'jakova
Евлогий, архиеп. 	 Evlogij, arhiep.
Елпатьевский, д-р 	 Elpat'evskij, d-r
Ельяшевич В. Б., проф. 	 El'jashevich V. B., prof.
Ельяшевич Ф. Ос-а 	 El'jashevich F. Os-a
Еремеева О. Л. 	 Eremeeva O. L.
Есенин Сергей 	 Esenin Sergej
Жид Андрэ 	 Zhid Andre
Жозеф 	 Zhozef
Зайцев Б. К. (Борис, Боря) 	 Zajtsev B. K. (Boris, Borja)
Зайцева В. А. (Верочка) 	 Zajtseva V. A. (Verochka)
Зайцевы (Зайчики) 	 Zajtsevy (Zajchiki)
Зайцева Наташа (см. Соллогуб) 	 Zajtseva Natasha (sm. Sollogub)
Зайцев К. О. 	 Zajtsev K. O.
Зайцевы 	 Zajtsevy
Замятин Е. 	 Zamjatin E.
Зенинов В. М. 	 Zeninov V. M.
Зернов В. М., д-р 	 Zernov V. M., d-r
Зилотти А. 	 Zilotti A.
Злобин Вл. А. (Володя) 	 Zlobin Vl. A. (Volodja)
Зноские 	 Znoskie
Зуров Л. Ф. (Леня, Скабарь, Питомец, Лось) 	 Zurov L. F. (Lenja, Skabar', Pitomets, Los')
Ибаньес Бласко 	 Iban'es Blasko
Иванов Вяч. Ив. 	 Ivanov Vjach. Iv.
Иванов Георгий В. 	 Ivanov Georgij V.
Иванов С. А. 	 Ivanov S. A.
Игнатьев, граф 	 Ignat'ev, graf
Иловайская О. 	 Ilovajskaja O.
Иловайский В. И., проф. 	 Ilovajskij V. I., prof.
Иловайские 	 Ilovajskie
Ильин И. А., проф. 	 Il'in I. A., prof.
Ильины 	 Il'iny
Инбер В. 	 Inber V.
Иоанн Грозный 	 Ioann Groznyj
Каган-Семенов 	 Kagan-Semenov
Кал грен А., проф. 	 Kal gren A., prof.
Каллаш М. (псевд. Курдюмов) 	 Kallash M. (psevd. Kurdjumov)
Каляев 	 Kaljaev
Кант Э. 	 Kant E.
Капитан, см. Н. Рощин 	 Kapitan, sm. N. Roschin
Карабчевский 	 Karabchevskij
Карлфельд 	 Karlfel'd
Карташев А. Вл., проф. 	 Kartashev A. Vl., prof.
Карташевы 	 Kartashevy
Карсавина Т. П. 	 Karsavina T. P.
Катаев В. 	 Kataev V.
Качалов В. И. 	 Kachalov V. I.
Кедрин 	 Kedrin
Кедровы 	 Kedrovy
Керенский А. Ф. 	 Kerenskij A. F.
Кессель И. 	 Kessel' I.
